id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
71,2,2006-03-22 16:12:29,2006-03-24 10:57:38,8,17,,,
68,2,2006-03-22 16:10:06,2006-03-22 16:10:27,43,20,,,
69,2,2006-03-22 16:11:39,2006-03-24 11:00:55,19,20,,,
63,2,2006-03-22 16:07:56,2006-03-24 11:03:00,80,30,,,
124,2,2006-04-04 11:38:07,2006-04-04 11:38:11,48,40,,,
117,2,2006-04-04 11:04:55,2006-04-04 11:05:04,34,87,,,
92,2,2006-03-24 14:55:03,2006-04-04 11:06:56,21,20,,,
79,2,2006-03-24 10:54:07,2006-03-24 10:58:40,41,200,,,"Fill Back Ordered product, Order #36"
130,2,2006-04-04 11:40:32,2006-04-04 11:40:38,74,20,,,
125,2,2006-04-04 11:38:27,2006-04-04 11:38:32,41,10,,,
102,1,2006-04-04 11:01:14,2006-04-04 11:01:14,34,50,,,
77,2,2006-03-24 10:53:39,2006-03-24 10:56:57,43,300,,,"Fill Back Ordered product, Order #38"
89,3,2006-03-24 14:50:14,2006-03-24 14:50:14,43,25,,,
95,2,2006-03-24 14:56:09,2006-04-04 11:06:13,40,30,,,
106,2,2006-04-04 11:01:58,2006-04-04 11:07:37,8,25,,,"Fill Back Ordered product, Order #48"
126,2,2006-04-04 11:38:48,2006-04-04 11:38:53,43,5,,,
82,1,2006-03-24 10:54:58,2006-03-24 10:54:58,34,100,,,
81,2,2006-03-24 10:54:35,2006-03-24 11:02:02,19,30,,,"Fill Back Ordered product, Order #33"
128,2,2006-04-04 11:39:50,2006-04-04 11:39:53,8,20,,,
97,3,2006-03-30 17:23:27,2006-03-30 17:23:27,34,10,,,
76,1,2006-03-24 10:53:36,2006-03-24 10:53:36,43,300,,,
88,3,2006-03-24 14:50:09,2006-03-24 14:50:09,1,25,,,
78,1,2006-03-24 10:54:04,2006-03-24 10:54:04,41,200,,,
120,2,2006-04-04 11:36:15,2006-04-04 11:36:21,17,40,,,
87,3,2006-03-24 14:49:20,2006-03-24 14:49:20,81,50,,,
94,2,2006-03-24 14:55:52,2006-04-04 11:06:13,41,30,,,
110,2,2006-04-04 11:02:39,2006-04-04 11:41:14,19,10,,,"Fill Back Ordered product, Order #42"
80,1,2006-03-24 10:54:33,2006-03-24 10:54:33,19,30,,,
100,1,2006-04-04 11:00:54,2006-04-04 11:00:54,57,100,,,
122,2,2006-04-04 11:37:06,2006-04-04 11:37:09,4,30,,,
134,2,2006-04-04 11:42:48,2006-04-04 11:43:08,20,40,,,
84,2,2006-03-24 14:48:15,2006-04-04 11:41:14,6,10,,,
115,1,2006-04-04 11:03:38,2006-04-04 11:03:38,41,50,,,
118,2,2006-04-04 11:35:50,2006-04-04 11:35:54,51,30,,,
116,2,2006-04-04 11:03:39,2006-04-04 11:09:24,41,50,,,"Fill Back Ordered product, Order #45"
111,1,2006-04-04 11:02:56,2006-04-04 11:02:56,19,10,,,
109,1,2006-04-04 11:02:37,2006-04-04 11:02:37,19,25,,,
86,3,2006-03-24 14:49:16,2006-03-24 14:49:16,80,20,,,
104,3,2006-04-04 11:01:37,2006-04-04 11:01:37,43,300,,,"Fill Back Ordered product, Order #41"
119,2,2006-04-04 11:35:51,2006-04-04 11:35:54,7,30,,,
73,2,2006-03-24 10:41:33,2006-03-24 10:41:42,81,200,,,"Fill Back Ordered product, Order #40"
129,2,2006-04-04 11:40:13,2006-04-04 11:40:16,80,15,,,
127,2,2006-04-04 11:39:12,2006-04-04 11:39:29,40,40,,,
75,2,2006-03-24 10:53:16,2006-03-24 10:55:46,48,100,,,"Fill Back Ordered product, Order #39"
136,3,2006-04-25 17:04:05,2006-04-25 17:04:57,56,110,,,
90,3,2006-03-24 14:50:18,2006-03-24 14:50:18,81,25,,,
99,2,2006-04-03 13:50:08,2006-04-03 13:50:15,48,10,,,
83,2,2006-03-24 10:55:02,2006-03-24 11:03:00,34,100,,,"Fill Back Ordered product, Order #30"
98,3,2006-03-30 17:24:33,2006-03-30 17:24:33,34,1,,,
